Sentence,Toxicity Level,Tone,Language,Implied Sentiment,Negative Connotations,__index_level_0__
"Hombre... a mi me tocan mi zumito y también arranco cabezas, hay cosas que hay que respetar.",Low,Assertive,Casual,Defensive,arranco cabezas,
y encima esqe eres mu puta,High,Insulting,Vulgar,Derogatory,puta,
da cobertura a terroristas de #Venezuela La deriva fascista del  y sus medios es muy preocupante. #ConElFranquismoHemosTopado,Medium,Accusatory,Critical and Alarmist,Negative,"terroristas, fascista, preocupante",
Ese buen hombre por lo menos pagará 7 u 8 pensiones. Es el más valiente sin duda.,Low,Positive,Respectful,Admiration,,
Y deportar a la escoria es parte de las leyes. Si para ti eso es justicia medieval haztelo mirar.,Medium,Defensive,Firm and Controversial,Derogatory,"escoria, medieval",
Lo que está claro es que tú sigues siendo un operador político totalmente parcializado. Asco,High,Disrespectful and Contemptuous,Critical and Insulting,Negative,asco,
Menudo baño te están dando pequeño dictador! 👏👏👏👏👏👏👏,High,Insulting,Aggressive and Condescending,Contemptuous,dictador,
La esposa no solo hacia lofts sin licencia sino que ni siquiera tenía la carrera de arquitectura. Detalles sin importancia.,Low,Dismissive,Informative,Neutral,"sin licencia, ni siquiera, sin importancia",
deja de tirarte abajo hija d re mil puta,High,Aggressive,Insulting and Demeaning,Hostile,puta,
Supongo que el subnormal de  estará llorando porque Benzemierda no ha sido titular y Cristiano ha marcado.,High,Derogatory,Insulting and Demeaning,Contemptuous,"subnormal, Benzemierda",
"Te gustan los niños,fascista de mierda?",High,Aggressive,Insulting and Offensive,Hostile,mierda,
Gran puta estos chinos de mierda vinieron a arruinar mi año 😭,High,Aggressive,Insulting and Offensive,Hostile,"puta, mierda, arruinar",
No han dicho ya que vienen los mejores y los mas preparados?,Low,Questioning,Formal,Neutral,,
"Si, esa es la que os gusta a los fachas. Menos mal que sois cuatro gatos.",Medium,Dismissive,Confrontational,Contemptuous,"fachas, cuatro gatos",
"Los de ahora son un infierno político y social, ocasionados por políticos fanáticos",Low,Critical,Formal,Disapproval,"infierno, fanáticos",
Los mejores y los más valientes.,Low,Positive,Neutral,Admiration,,
Yo voy a hacer #BoikotalosGoyas viendo la gala 😂😂 Que país de fachas!!!,High,Negative,Critical and Insulting,Angry,fachas,
"El chepas acaba de solucionar el problema de la inmigración, ahora vendrán los de Vox a tocar los huevos...",Medium,Sarcastic,Casual,Negative,tocar los huevos,
Como les gusta el afeitado en seco a esta gente.,Low,Neutral,Casual,Observational,ninguna,
"No pasa nada, al bajar dice que tiene 14 años y a vivir la vida midugis juejuejejejeuejjejj",Low,Playful,Casual and Playful,Light-hearted,nada,
"a ver eso se elige, no es natural... Vas a arder en el infierno por sodomita.",High,Threatening,Aggressive and Disrespectful,Hateful,"arder, infierno, sodomita",
"subnormal que no sabes de fútbol ni de nada, eres un periodista de pacotilla.... 😋",Medium,Insulting and Dismissive,Condescending and Offensive,Negative,"subnormal, pacotilla",
La justificación pedorra JAJAJAJ mejor no te defiendas 🤣🤣,Medium,Mocking,Mockery and Sarcasm,Dismissive,pedorra,
Pero siguen estando ahí y recibiendo subvenciones de la ilesia y del estado FASCISTA,High,Accusatory,Confrontational and Disparaging,Angry,estado FASCISTA,
"Queremos más dominicanos y más moros, Sánchez trae más.!!!!",Medium,Sarcastic,Combative,Negative,moros,
solo 4? maldito hijo de puta fascista,High,Aggressive,Aggressive and Insulting,Hostile,"maldito, hijo de puta, fascista",
por favor dejad en paz a mi amiga la subnormal de mierda,High,Aggressive,Insulting and Offensive,Hostile,"subnormal, mierda",
"Y una mierda. Vox dice fuera a la inmigración ilegal que comete delitos, y de ahí no pasa.",Medium,Defensive,Emphatic with strong opinion,Controversial,mierda,
¿A qué puta perra hora suben el link de #HTGAWM?,High,Aggressive,Derogatory and Offensive,Angry,"puta, perra",
Trump provocando como un macarra de pacotilla   vía,Low,Sarcastic,Casual,Critical,"macarra, pacotilla",
"me parto eh jaja es que vaya subnormal enserio, esta sobrevaloradisimo este actor.",High,Mocking and Insulting,Colloquial and Offensive,Derogatory,"subnormal, sobrevaloradisimo",
"Otro día de mierda, en éste mes de mierda, de éste año de mierda",High,Negative,Vulgar,Frustration and Despair,mierda,
ME JUEGAS PUTO RETO O COMO VA LA COSA PUTO RETRASADO,High,Aggressive,Profane and Insulting,Hostile,"PUTO, RETRASADO",
Putos rojos de mierda subvencionando con 40 millones algo tan innecesario como la cultura #BoicotAlosGoya,High,Angry and Insulting,Aggressive,Hostile,"Putos, rojos, mierda, innecesario, boicot",
Ya te he respondido subnormal,High,Insulting,Aggressive,Hostile,subnormal,
"Tranquilízate tú, ya que se supone que eres analista deportivo, no comediante o payaso, aunque a veces parezca lo contrario.",Low,Assertive,Firm and Direct,Chiding,"comediante, payaso",
La puta que frustración .,Low,Frustrated,Informal,Negative,puta,
"Lee mongolo, lee. Deja de dar pena",High,Insulting,Offensive,Hostile,"mongolo, pena",
¡Es que hay zumos y zumos!,Low,Excited,Casual,Neutral,None,
"Sólo me hacen encabronar, no debemos nada a Centroamérica ni los invasores para regalarles dinero.",Medium,Defensive,Assertive,Defiant,"encabronar, invasores",
Fuentes del gobierno me comentan que hay que aumentar el altavoz para llamar a que vengan mas a intentarlo,Low,Neutral,Formal,Neutral,,
"Y los mejores, y los más valientes. La vieja dixit",Low,Positive,Neutral,Praise,vieja,
jaja eso es mejor que ser maricon o comunista,Medium,Flippant,Casual,Disrespectful,"maricon, comunista",
Lo que está claro es que ha llegado un ladrón menos.,Low,matter-of-fact,Neutral,Neutral,ladrón,
Jueves con J de mierda,Low,Disdainful,Colloquial,Negative,mierda,
"Ahí ahí, protegiendo a tus niños. A los mejores. ¿A cuantos tienes metidos en casa?",Low,Casual,Informal,Ribbing/Teasing,metidos,
nonono este 2020 se anda pasando de verga,Medium,Frustrated,Informal,Negative,verga,
Los mierdas de ABC haciéndole campaña al Fracking.,High,Disparaging,Vulgar and Offensive,Negative,mierdas,
¿a que sigues los pasos del poeta maricon?,Medium,Confrontational,Insulting,Hostile,maricon,
Dale la vuelta a la camiseta y tienes el 6 del 6-1 de la REMONTADA MAMÓN!!!,Medium,Aggressive,Casual and Provocative,Hostile,MAMÓN,
"Solo vienen los mejores, los más valientes",Low,Positive,Encouraging and Supportive,Praising,,
En el fondo me alegro por el subnormal de Emery.,Medium,Sarcastic,Casual,Negative,subnormal,
hijo de puta subnormal cabeza de polla gilipollas mental zoquete,High,Insulting,Vulgar and Offensive,Aggressive,"hijo de puta, subnormal, cabeza de polla, gilipollas, mental, zoquete",
Gobierno de mierda,High,Hostile,Vulgar and Insulting,Negative,mierda,
VIEJA PAYASA....................................... APARTA TU MIERDA DE MI MIERDA..................................... NO ME SEAS LOCA,High,Aggressive,Insulting and Disrespectful,Hostile,"payasa, mierda, loca",
Por que chingado los de Facebook tuvieron que hacer otra app para poder contestar mensajes 😡,Medium,Frustrated,Emotional and Informal,Angry,chingado,
Nose que esperan para cerrar toda esa mierda,Medium,Negative,Informal,Frustration,mierda,
"A los machistas no les da miedo el feminismo, (muy machos ellos). Simplemente lo desprecian,.¡Imbéciles!.",Medium,Disdainful,Sarcastic,Critical,"machistas, desprecian, imbéciles",
Como puede ser un icono feminista una facha como ella?? 👀 estamos locos o qué?,Medium,Questioning,Sarcastic,Disbelief,"facha, locos",
"Basta ya hijos de las mil putas. Estáis agotando a la Afición, lo único digno que queda en el club.",High,Aggressive,Vulgar and Offensive,Angry,"hijos de las mil putas, agotando",
"Para el podemitariado y los lobotomizados del noreste español, Cristina Pardo también es facha.",High,Insulting and derogatory,Confrontational,Hostile,"podemitariado, lobotomizados, facha",
Me confirman por aquí que mi padre es subnormal.,High,Disrespectful,Insulting,Derogatory,subnormal,
Mire la saga de 50 sombras de Grey...casi todo eran.lectoras...les va el.morbillo no lo.nieguen,Low,Casual,Casual and Informal,Playful,morbillo,
"This. Que puto asco de respuestas, sois repulsivos",High,Dismissive,Vulgar and Insulting,Hostile,"puto, asco, repulsivos",
"Solo la fe, el dogmatismo y la estupidez te pueden hacer votar a un elemento como este #SanchezVeteATuCasa",High,Dismissive,Confrontational,Hostile,"dogmatismo, estupidez",
Hay un puto subnormal pitando en mi calle todo el puto rato,High,Aggressive,Vulgar and Offensive,Angry,"puto, subnormal",
Dios mi madre es subnormal en serio,Medium,Disrespectful,Insulting,Negative,subnormal,
Un caracol inválido es más rápido que esta internet de mierda,Low,Casual,Colloquial,Negative,"inválido, mierda",
Aquí lo acogemos con los brazos abiertos y le damos una paguita vitalicia.,Low,Positive,Welcoming and Generous,Supportive,paguita,
"tienen cojones pero huyen para que otros les REGALEN LA VIDA, un poco contradictorio no?",Low,Conversational,Casual,Slightly Critical,"cojones, huyen",
"Pero que putas, maldita tensión rara entre Jaime y Brandon #GameofThrones #JaimeLannister",High,Aggressive,Vulgar and Offensive,Disdainful,"putas, maldita",
Creo que deberían explotar este país de mierda,Medium,Aggressive,Negative and Disparaging,Angry,"explotar, mierda",
El tonto de FC. ¿Con el PP no se podía abortar?,Medium,Mocking,Sarcastic,Disrespectful,tonto,
Quien putas es Juan Sebastián?,Medium,Interrogative,Casual and Vulgar,Disrespectful,putas,
"ha habido 6, no 5, 6.... Guti Guti Maricoooon, Maricoooon Maricoooooooon",Medium,Mocking,Informal,Joking,Maricoooon,
"Lo que no se es como no pone varias lineas de ferry, 2500 pavos cada uno y llenan.",Low,Neutral,Informative,Neutral,pavos,
Ya empiezan los sinvergüenzas..  No faltes al respeto Rumano de mierda..,High,Hostile,Insulting,Aggressive,"sinvergüenzas, mierda",
"Que algún shur se ofrezca a llevarlos gratis, no vaya a ser que el precio sea un impedimento para nadie",Low,Concerned,Polite,Helpful,impedimento,
JAJAJAJAJJA Hostia puta que bueno JAJAJAJAJAJA,High,Mocking,Vulgar and Offensive,Derogatory,Hostia puta,
Tantos les cuesta entender simios de mierda,High,Insulting,Confrontational,Derogatory,mierda,
"Mejor obedecer a Soros que ser como VOX , el lacayo de Vladimir Putin",Medium,Comparative,Analytical,Disdainful,lacayo,
SALVEMOS A ESE ANIMAL DE LAS GARRAS ASESINAS Y FASCISTAS YA,High,Urgent and Aggressive,Emotional and Radical,Angry,"asesinas, fascistas",
"Perdón, que elite de mierda",Low,Sarcastic,Informal,Disapproval,mierda,
"Israelitas, chinos, moros, culés... así estaba el Bernabéu ese día, que daba entre pena y asco.",Medium,Negative,Derogatory,Disdainful,"pena, asco",
menudos fachas xDDDDDDDDD HIJOS DE PUTA,High,Insulting,Aggressive,Hostile,"fachas, HIJOS DE PUTA",
Segurola es un subnormal desde el minuto 1.,High,Insulting,Derogatory,Disrespectful,subnormal,
Empiezo a sospechar que los traperos quieren competir con los youtubers para ver que grupo es más subnormal.,Medium,Critical,Sarcastic,Mocking,subnormal,
"Debería darte vergüenza ofender las creencias de otras persona, intolerante fascista.",High,Condemning,Critical and Insulting,Hostile,"vergüenza, ofender, intolerante, fascista",
Celebrando mas feliz una victoria del Barsa que una del Sevilla... Este subnormal no me representa como sevillista,Medium,Disdainful,Critical and Disparaging,Negative,subnormal,
ahora ser liberal es de retrasado? pues eres un poco hipocrita y tonto amigo,High,Confrontational,Insulting,Negative,"retrasado, hipocrita, tonto",
¡Ese es mi Trump! 🇺🇸Que vean la galamierda los giligoyas y rojeras de los veinte duros ¡A mamarla!,High,Aggressive,Insulting and Confrontational,Hostile,"galamierda, giligoyas, rojeras, mamarla",
Que arrechera esta economía de mierda,Medium,Frustrated,Vulgar,Negative,"arrechera, mierda",
Pura supervivencia. Me pones en riesgo? Te mato.,Medium,Threatening,Direct and Menacing,Aggressive,matas,
"Así actúa la propaganda de la izquierda, como cualquier rancia dictadura",Low,Neutral,Formal,Critical,"rancia, dictadura",
"Los mejores, los más valientes y preparados.",Low,Positive,Formal and Admirative,Admiring,None,
Yo quería ser main puta pero listisima para lo que se viene,Low,Casual,Informal,Neutral,puta,
"lo que es curioso es que todos los imbeciles que llevan bandera podemita demuestra ser imbecil,con nota",High,Insulting,Confrontational,Derogatory,"imbeciles, imbecil",
"Ojalá no salga por ahí algún juez de esos pendientes de joder todo a poner su demanda, asquerosos oportunistas 🖕👎",High,Angry,Insulting and Disrespectful,Hostile,"joder, asquerosos, oportunistas",
Luego si empiezan a aparecer los cadáveres de esta basura alguien se echara las manos a la cabeza.,Medium,Negative,Strong and Critical,Disdainful,"cadáveres, basura",
Manda cojones que nos meta gol el subnormal de Paco Alcácer....,High,Offensive,Insulting and Aggressive,Angry,"cojones, subnormal",
"En 2013 Dalas ya se sabía que era retrasado, que cojones?!",High,Insulting,Aggressive,Derogatory,"retrasado, cojones",
Luego se queja Neymar... valiente subnormal.,High,Dismissive,Insulting,Derogatory,subnormal,
Los canis del 2000 y posteriores son aún más gilipollas que los anteriores.,Low,Informative,Casual,Negative,gilipollas,
"Viene a currar como el que mas, se le ve",Low,Neutral,Casual,Neutral,currar,
"6 años ha tardado en mostrarse el tarado mental más grande, bravo 👏",High,Insulting,Critical and Derogatory,Negative,tarado mental,
ya ves además a los policías nazis que tendrá esa en el whatsapp… como para creerse algo.,Medium,Sarcastic,Casual,Disbelief,nazis,
"Son nuestros niños... ah no, que uno tiene 41 años. Da igual, son nuestros jóvenes.",Low,Casual,Casual,Neutral,Da igual,
"En catalán se escribe Espanya. Para dárselas usted de ser periodista, no tieene usted puta idea de escribir.",Medium,Critical,Assertive,Negative,puta,
A saber cuantos imbéciles recibieron dinero y sin hacer una mala película siquiera.,Medium,Disdainful,Sarcastic,Contemptuous,imbéciles,
"No se si me seguirá alguien católico, si es así, siento que seas tan ignorante.",Low,Uncertain,Formal,Disapproval,ignorante,
Cosas que me regala mi encargado marica diciéndome que es el minion de las BOLLERAS:,Low,Informative,Casual,Neutral,"marica, BOLLERAS",
Sin duda y durante los próximos meses con un email solucionan si no les llega,Low,Neutral,Formal,Neutral,,
"Haz que pase ya Pedro por Dios, porque a mí se me está haciendo eterno.",Low,Impatient,Assertive,Frustration,eterno,
"Será puerta abierta , inútiles fascistas embusteros miserables,no?",High,Hostile,Aggressive and Insulting,Contemptuous,"inútiles, fascistas, embusteros, miserables",
A esosmoros hay que echarlos pero ya.O los politicos hacen algo o la gente tendra que actuar,High,Urgent and Aggressive,Forceful and Discriminatory,Hateful and Violent,"esosmoros, echarlos",
"Tu lo que eres es subnormal, punto.",High,Insulting,Aggressive,Contemptuous,subnormal,
Quien putas está RT esa mierda ?,High,Aggressive,Vulgar and Offensive,Angry,"putas, mierda",
no soy del Celta subnormal. Ves como eres retrasado...,High,Insulting,Hostile and Offensive,Derogatory,"subnormal, retrasado",
"Si ese magrebi hubiera estado en su pais, podriamos haber evitado ese hecho.",Low,Fact-based,Neutral,Informative,magrebi,
Y el mamón se vuelve a París con dos palmos de narices,Low,Neutral,Casual,Neutral,mamón,
"ese tío no es un delicuente, en su cultura mayormente está admitido, lo que es, es un hijo de puta",Medium,Disparaging,Informal,Negative,"delicuente, hijo de puta",
Si fuese verdad se lo estaría pagando el gobierno y les darían una paga para que no tengan problemas económicos.,Low,Analytical,Neutral,Informative,problemas,
pues con lo puto retrasado que eres podría ser,High,Disrespectful,Vulgar and Offensive,Derogatory,"puto, retrasado",
"Cortocircuito buenrrollista, pobres inmigrantes vs chica atacada sexualmente.",Medium,Contrasting,Neutral,Neutral,"pobres, atacada sexualmente",
"callate ya, subnormal, admite el PARTIDAZO como todos los madridistas, no que por rabia digais que ha sido robo, penosa.",High,Condescending,Insulting,Aggressive,"callate, subnormal, rabia, robo, penosa",
"Que asco da la gente homófoba, COMENTO. — MUCHO ASCO",Medium,Disgust,Strongly Opinonated,Negative,asco,
Nunca sean así de mierdas.,High,Aggressive,Insulting,Contemptuous,mierdas,
Cómo me alegro de la remontada por todos los madridistas insoportables y por el subnormal miarma de Emery!!,High,Insulting,Derogatory,Negative,insoportables subnormal miarma,
"Si controlan mucho porque son dictadores, si no controlan son pelotudos.",Medium,Dismissive,Casual,Negative,"dictadores, pelotudos",
"Potencialmente Sánchez es el que más daño puede hacer, primer psicopata que llega a ser presidente en España.",Medium,Negative,Serious and Critical,Critical,"daño, psicopata",
"se tiene q ser subnormal profundo, pero como dice este es la nueva manera de hacer periodismo. Pues ala",High,Dismissive,Confrontational and Insulting,Negative,subnormal,
"Yo lo se, los mismos fascistas corruptos ladrones que estan acabando con la Civilización en la Tierra",High,Accusatory,Aggressive and Condemning,Angry and Frustrated,fascistas corruptos ladrones,
Jajajajajaja que Martin de mierda,Medium,Mocking,Casual and Insulting,Negative,mierda,
"Donde esta el venezolano de mierda, donde",High,Aggressive,Insulting and Offensive,Hostile,mierda,
Por encima de la libertad de expresión está la libertad de callarse para no decir gilipolleces sin sentido,Low,Assertive,Neutral,Rational,gilipolleces,
Ya decía yo que veía menos moros,Low,Casual,Informal,Neutral,moros,
"Desde que los nazis falsificaron billetes en los campos,este es el peor ataque a la economia de un pais",Low,Informative,Formal,Negative,nazis,
"Estos fascistas de la oposición venezolana, y sus achichincles en España, tienen la suerte de que no somos como ellos.",Medium,Accusatory,Critical and Aggressive,Hostile,"fascistas, achichincles",
Que red social de mierda,Low,Disdainful,Vulgar,Negative,mierda,
"Este va para casa de que politicucho? ya esta adjudicado, o se lo rifan?",Medium,Questioning,Sarcastic,Skeptical,politicucho,
"Hable como Hernández, ya sabemos que podes hablar mierda en ese canal, NARCO ¿Seguridad?",Medium,Dismissive,Confrontational and Insulting,Hostile,"mierda, NARCO",
Ahora me leo la secta que seguro que amplian información,Low,Neutral,Informative,Neutral,secta,
"Vaya, el VOXtarra guardia que se da por aludido.",Low,Dismissive,Casual,Neutral,VOXtarra,
Disney se está riendo en vuestra puta cara,Medium,Mocking,Informal and Vulgar,Disrespectful,puta,
Buena gente acogemos en nuestro país. Traen lo mejorcito de la cultura de su país.,Low,Appreciative,Polite and Welcoming,Positive,,
Quien me mando a hacerme este aro de mierda 😭,Medium,Frustrated,Informal and Vulgar,Regretful,mierda,
te he respondido 2 veces como un subnormal xDDDDDDDD,High,Dismissive,Confrontational and Insulting,Hostile,subnormal,
"Me baje la discografia de Jeffree Star porque me representa: Una mierda, pero fabulosa.",Medium,Sarcastic,Pejorative,Insulting,mierda,
Hay que ser muy cara raja de pedir paz si no hay justicia,Medium,Accusatory,Colloquial and Derogatory,Critical,cara raja,
Estamos de acuerdo que el tereré le rompe el orto al mate?,Medium,Informal,Vulgar,Comparative,"rompe, orto",
Y acaba de cagar... DONDE NO TIENE QUE HACERLO!!!!!!!!!!,Medium,Aggressive,Confrontational,Frustrated,cagar,
Mis ganas de seguir se están yendo a la mismísima mierda.,Medium,Frustrated,Vulgar,Negative,mierda,
Después de estos días te llamarán el Leñador: Palo q ves palo que tumbas,Medium,Jovial,Informal,Teasing,tumbas,
"a juzgar de las músicas new age que clavaron los vecinos, los hospis están posta de ayahuasca.",Medium,Dismissive,Sarcastic,Criticizing,clavaron,
"Che cuando sea presidente , se van a querer cortar un huevo jajaja!",Medium,Mocking,Informal and Provocative,Derisive,cortar un huevo,
Por todos nuestros compañeros que se han suicidado con esta carrera de mierda 😔😔,Medium,Sad,Vulgar and Emotive,Depressing,mierda,
A mi algunas veces se menstrujan los huevos con los vaqueros ajustados.,Medium,Informal,Crude and Vulgar,Discomfort,"menstrujan, huevos",
Storm es una hijaputa de cuidado.,High,Aggressive,Insulting,Hostile,hijaputa,
se ve como una mierda la foto perooo,Medium,Critical,Insulting,Negative,mierda,
estoy tan hasta la polla que cada dia me la suda todo un poquito mas,Medium,Frustrated,Vulgar and Informal,Indifferent,"polla, suda",
BBC le hace un trolleo épico,Medium,Mocking,Informal,Negative,trolleo,
yo no entiendo como les puede gustar este frio de mierda,Medium,Frustrated,Vulgar,Negative,mierda,
sisi una cagada q nosotros estemos en 40tena hace mil meses pero hay países q no ?,Medium,Frustrated,Informal and Profane,Resentful,cagada,
LO LINDA QUE ES NUESTRA CHOMBA LA PUTA MADREEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE,Medium,Exclamatory,Colloquial and Profane,Excited,PUTA,
😂😂😂😂 este hijueputa como sueña.,Medium,Mocking,Informal and Insulting,Disdainful,hijueputa,
Ojalá nadie compre ni mierda.,High,Aggressive,Offensive,Malicious,mierda,
"Y alguien puede pedir que John Constantine lo interprete el pato Donald, pero eso no significa que tenga sentido.",Low,Humorous,Casual,Neutral,ninguna,
"Y quien dice que no los ayuda, chavalin????????????",Medium,Belittling,Confrontational and Dismissive,Disrespectful,chavalin,
Que buena es una puta pasada de serie #ARDEMadrid,Medium,Informal,Vulgar,Positive,puta,
no se haga el marica con esa ridiculez de trino.,High,Ridiculing,Disrespectful and Insulting,Contemptuous,"marica, ridiculez",
Que manera de cagarla wacho 😩👎🏼,Medium,Critical,Casual and Slang,Disappointment,cagarla,
"tengo una intensidad al extrañar a candela, pk mierda esta lejos?",Medium,Frustrated,Informal and Vulgar,Distressed,mierda,
Fav si fuiste al Western a comer pizza y terminaste ebrio :(,Low,Light-hearted,Casual,Nostalgic,ebrio,
el chico este no tiene contacto ?COÑO luego el AT Madrid amenazas con denuncias,Medium,Frustrated,Aggressive and Accusatory,Dissatisfied,"COÑO, amenazas",
"bueno, también será porqué nada cabrea más a un ultranacionalista que otro nacionalismo intente violar su integridad territorial.",Medium,Sarcastic,Critical,Hostile,"cabrea, ultranacionalista, violar",
lo puto guapa que va hoy Natalia??????,Medium,Aggressive,Vulgar,Condemning,puto,
La cancion agua es la mamada,Low,Casual,Colloquial,Positive,mamada,
"La cagada de siempre retrocer la pelota pasado ya el medio, que puta crj",High,Frustrated,Vulgar and Insulting,Displeasure,"cagada, puta, crj",
Ganale al que no gana una copa la puta que te parió 😂😂😂,High,Mocking,Derogatory and Insulting,Hostile,"puta, parió",
Deja de molestar xq te voy a mandar al jefe q Te pegue gil,High,Threatening,Aggressive and Insulting,Hostile,"molestar, pegue, gil",
Que muchos pelotudos habitan esta aldea,Medium,Frustrated,Derogatory,Disdainful,pelotudos,
como salgamos del corona virus y luego nos mate un meteorito me voy a cagar en todos los dioses,Medium,Frustrated,Irreverent and Aggressive,Exasperation,cagar,
MEDIA HORA PARA ESCRIBIR ESTA MIERDA ESTUVO AMY,Medium,Frustrated,Informal and Vulgar,Annoyance,mierda,
Este si que es un verdadero chupasangre del dinero de nosotros.,Medium,Judgmental,Accusatory and Disparaging,Contempt,chupasangre,
"QUE TE DIERON DE COMER CUANDO CHICO, MIERDA?",High,Aggressive,Insulting,Hostile,mierda,
Nunca en mi puta vida me va a pasar,Medium,Frustrated,Vulgar,Negative,puta,
Ese señor no es Colombia no sea idiota.,High,Aggressive,Insulting,Disrespectful,idiota,
Bueno nojoda que pasa aqui pues?,Medium,Frustrated,Informal and Vulgar,Annoyed,nojoda,
"este internet q anda del orto, nunca más me llego un mensaje tuyo",Medium,Frustrated,Casual and Vulgar,Annoyance,orto,
"Mierdación como escriben de mal los titulares, el encabezado, el primer párrafo.",High,Criticizing,Crude and Disparaging,Disdainful,Mierdación,
dios podes hablar bien la concha de tu madre,High,Aggressive,Vulgar and Insulting,Hostile,"concha, madre",
"cuando a la derecha rancia le recuerdan lo rancia que son ,siempre sale algún pepero rancio con pelazo quejándose",Medium,Critical,Mocking and Insulting,Disparaging,"rancia, pepero, quejándose",
Gran zasca al bolivariano Jordi Caca Évole,High,Derogatory,Confrontational and Insulting,Hostile,"zasca, Caca",
k stoy haciendo con mi putavida mencantaria saberlo,Medium,Frustrated,Vulgar,Confused,putavida,
"#SpainIsAFascistState ,cuanto nos queda por limpiar en este pais lo copan todo hasta las televisiones",High,Aggressive,Accusatory and Provocative,Hostile,"fascist, limpiar, copan",
Contigo el pedo se hizo agresivo rápido.,Medium,Accusatory,Confrontational,Negative,"pedo, agresivo",
"Como dice el preclaro compañero Aníbal, sencillo fan asco.",Medium,Disapproving,Insulting,Disdainful,asco,
Lo puto guapas que van todas hoy??????,Medium,Disrespectful,Profane and Objectifying,Negative,puto,
"Udec culia se demoran ene en sus trámites culiaos, vale pico!",High,Frustrated and Disrespectful,Profane and Aggressive,Very Negative,"culia, culiaos, vale pico",
"ERA PARA QUE VAYAS A COMPRAR MANDARINAS EN JONATHAN, NO A CANTAR CON LA CAZZU.",Low,Disappointed,Reprimanding,Displeased,NO,
"JAJAJAJAJAJ qlq valeeee, maldito muchacho mongolico.",High,Derisive,Insulting and Offensive,Hostile,"maldito, mongolico",
Hay qur ser bien CTM para andar tirando molotovs en cualquier lugar,High,Aggressive,Profane and Condemnatory,Hostile,CTM,
No sabe ni nada el cabrón xDDDDDDDDDDDD!!,Medium,Mocking,Informal and Insulting,Derisive,cabrón,
Hoy m pongo empedo o ke?💃🏼,Low,Casual,Informal,Playful,empedo,
Pero como yo estoy solo que no llueva ni mierdaa,Medium,Frustrated,Colloquial and Vulgar,Annoyed,mierdaa,
y si sigo durmiendo y le dan x culo al trabajo???,Medium,Disrespectful,Casual and Rude,Dismissive,culo,
Putas que me hace reir este huaso bruto del Prudencio #AquelarreTVN,High,Derogatory,Vulgar and Insulting,Disrespectful,"Putas, bruto",
PDT: Hoy todo el mundo comentado con #RepescaHugo porfa.,Low,Neutral,Casual,Friendly,,
me paso de pendejo neta,Medium,Self-deprecating,Colloquial and Vulgar,Frustration,pendejo,
Matemáticas me va a coger siempre?,Medium,Frustrated,Colloquial and Informal,Defeated,coger,
#CepedaDestruyoPruebas eso es mucha rata tan hijueputa.,High,Aggressive,Insulting and Derogatory,Hostile,"rata, hijueputa",
"Partido de los llamados feos, de los de no poder cometer el mas minimo fallo, concentracion y desgaste.",Low,Neutral,Informative,Neutral,"feos, fallo, desgaste",
Que coño tiene oculto el hermano de este ahora????,Medium,Curious and Aggressive,Informal and Vulgar,Suspicious,coño,
Que cancion pedorra no la banco masaaaas,Medium,Dismissive,Casual and Disparaging,Disgust,pedorra,
me encanta la puta UNION que hemos tenido todo Twitter para hacer favorita a Maria #OT18Gala4,Low,Positive,Casual,Supportive,puta,
"AHHHHHH POR ESOOO TE VAS, MALDITAAAA😡🤬",High,Aggressive,Confrontational and Insulting,Angry,maldita,
A esos mamertos ifueputas hay que darles es duro y donde más les duele.,High,Aggressive,Violent and Insulting,Hostile,mamertos ifueputas,
"No es la música kpop, son las armys que a mucha gente les da por las pelotas.",Medium,Frustrated,Informal and Slightly Offensive,Irritation,les da por las pelotas,
Un me suda la polla suele esconder un me duele,Medium,Dismissive,Vulgar and Dismissive,Indifferent,suda la polla,
Que alguien me explique que mierda hice xq ni yo entiendo,Medium,Frustrated,Informal and Crude,Confused,mierda,
Te podes mandar todas las cagadas del mundo pero te voy a elegir a vos siempre,Medium,Reassuring with Underlying Criticism,Colloquial with Vulgar Elements,Mixed,cagadas,
crush mi boca no se va a besar sola no se a que cojones esperas,Medium,Impatient,Direct and Informal,Demanding,cojones,
No querer culear con cualquiera.,Medium,Dismissive,Informal and Vulgar,Negative,culear,
Yo el culo asiq juntemos Plata,Medium,Crude,Informal and Vulgar,Disrespectful,culo,
Putos oídos tenían un tiiiiiiiiiiiiiii hijoeputa casi muero,High,Aggressive,Insulting and Profane,Angry,"putos, hijoeputa",
En ves de estar debatiendo ayudas para el pequeño y mediano empresario estamos con la gilipollas del luto oficial.,Medium,Dismissive,Disrespectful and Insulting,Frustrated,gilipollas,
"Hijos de puta, encima el pulgar, yo directamente los expulsaba o les prendía fuego",High,Aggressive,Insulting and Violent,Hostile,"Hijos de puta, expulsaba, prendía fuego",
"She-ra, temporada 4: todo se va a la mierda.",Medium,Negative,Informal and Vulgar,Frustration,mierda,
Por que le pinche molesta a mi papá que me levante a las 2 de la tarde ?,Medium,Frustrated,Informal and Mildly Offensive,Annoyed,pinche,
estos personajes cometieron un crimen y se rajaron... refugiados las bolas,High,Mocking,Derogatory and Insulting,Contemptuous,"cometieron, crimen, rajaron, bolas",
